State,Confirmed,Recovered,Deaths,Active,Last_Updated_Time,State_code,Delta_Confirmed,Delta_Recovered,Delta_Deaths,State_Notes
Maharashtra,4200,507,223,3470,23/04/2020 16:17:28,MH,0,0,0,
Delhi,2003,290,45,1668,23/04/2020 16:17:29,DL,0,0,0,
Gujarat,1743,105,63,1575,23/04/2020 16:17:29,GJ,0,0,0,
Rajasthan,1478,205,23,1250,23/04/2020 16:17:30,RJ,0,0,0,
Tamil Nadu,1477,411,15,1051,23/04/2020 16:17:31,TN,0,0,0,
Madhya Pradesh,1407,131,72,1204,23/04/2020 16:17:32,MP,0,0,0,
Uttar Pradesh,1100,127,17,956,23/04/2020 16:17:33,UP,0,0,0,
Telangana,858,186,21,651,23/04/2020 16:17:34,TG,0,0,0,
Andhra Pradesh,647,65,17,565,23/04/2020 16:17:34,AP,0,0,0,
Karnataka,390,111,16,263,23/04/2020 16:17:35,KA,0,0,0,
Kerala,401,270,2,129,23/04/2020 16:17:36,KL,0,0,0,
Jammu and Kashmir,354,56,5,293,23/04/2020 16:17:37,JK,0,0,0,
West Bengal,310,62,12,236,23/04/2020 16:17:38,WB,0,0,0,"As WB state bulletin only reports the number of active cases, the numbers for WB are currently updated according to https://www.mohfw.gov.in"
Haryana,250,104,3,143,23/04/2020 16:17:38,HR,0,0,0,1 death in Ambala unaccounted.
Punjab,244,37,16,191,23/04/2020 16:17:39,PB,0,0,0,
Bihar,96,42,2,52,23/04/2020 16:17:40,BR,0,0,0,
Odisha,61,24,1,36,23/04/2020 16:17:41,OR,0,0,0,
Uttarakhand,44,11,0,33,23/04/2020 16:17:41,UT,0,0,0,
Jharkhand,41,0,2,39,23/04/2020 16:17:42,JH,0,0,0,
Himachal Pradesh,39,16,2,21,23/04/2020 16:17:43,HP,0,0,0,Death of Tibetan refugee included
Chhattisgarh,36,25,0,11,23/04/2020 16:17:44,CT,0,0,0,
Assam,35,17,1,17,23/04/2020 16:17:45,AS,0,0,0,Includes one case from Nagaland
Chandigarh,26,13,0,13,19/04/2020 17:45:25,CH,0,0,0,
Ladakh,18,14,0,4,23/04/2020 16:17:46,LA,0,0,0,
Andaman and Nicobar Islands,15,11,0,4,23/04/2020 16:17:47,AN,0,0,0,
Meghalaya,11,0,1,10,23/04/2020 16:17:47,ML,0,0,0,
Goa,7,7,0,0,19/04/2020 17:04:07,GA,0,0,0,
Puducherry,7,4,0,3,19/04/2020 08:25:07,PY,0,0,0,
Manipur,2,1,0,1,23/04/2020 16:17:48,MN,0,0,0,
Tripura,2,1,0,1,10/04/20 08:00 PM,TR,0,0,0,
Mizoram,1,0,0,1,26/03/2020 07:19:29,MZ,0,0,0,
Arunachal Pradesh,1,1,0,0,16/04/2020 19:33:11,AR,0,0,0,
Nagaland,0,0,0,0,20/04/2020 08:45:07,NL,0,0,0,
Dadra and Nagar Haveli,0,0,0,0,17/04/2020 15:03:07,DN,0,0,0,
Daman and Diu,0,0,0,0,26/03/2020 07:19:29,DD,0,0,0,
Lakshadweep,0,0,0,0,26/03/2020 07:19:29,LD,0,0,0,
Sikkim,0,0,0,0,26/03/2020 07:19:29,SK,0,0,0,
