,State,Confirmed,Recovered,Deaths,Active,Last_Updated_Time,State_code,Delta_Confirmed,Delta_Recovered,Delta_Deaths,State_Notes
1,Maharashtra,7628,1076,323,6229,25/04/2020 21:02:37,MH,0,0,0,
2,Gujarat,3071,282,133,2656,25/04/2020 20:42:38,GJ,0,0,0,
3,Delhi,2625,869,54,1702,25/04/2020 21:52:38,DL,0,0,0,
4,Rajasthan,2141,513,35,1593,26/04/2020 09:27:37,RJ,58,0,1,
5,Madhya Pradesh,1945,281,99,1565,25/04/2020 18:52:37,MP,0,0,0,
6,Tamil Nadu,1821,960,23,838,26/04/2020 09:07:37,TN,0,0,0,
7,Uttar Pradesh,1793,261,27,1505,26/04/2020 09:02:37,UP,0,0,0,
8,Andhra Pradesh,1097,231,31,835,26/04/2020 11:57:37,AP,81,60,0,
9,Telangana,990,307,25,658,25/04/2020 20:57:37,TG,0,0,0,
10,West Bengal,611,105,18,488,26/04/2020 09:47:38,WB,40,2,0,WB totals and district numbers are currently updated according to https://www.mohfw.gov.in
11,Karnataka,501,158,18,325,26/04/2020 12:32:37,KA,1,0,0,
12,Jammu and Kashmir,494,112,6,376,26/04/2020 09:17:37,JK,0,0,0,
13,Kerala,458,338,4,116,26/04/2020 07:52:37,KL,0,0,0,Mahe native who expired in Kannur included in Kerala's tally
14,Punjab,308,72,17,219,26/04/2020 09:07:38,PB,0,0,0,
15,Haryana,287,191,3,93,25/04/2020 19:42:38,HR,0,0,0,One death in Ambala included
16,Bihar,251,45,2,204,26/04/2020 09:07:39,BR,0,0,0,
17,Odisha,103,34,1,68,25/04/2020 23:22:41,OR,3,0,0,
18,Jharkhand,67,13,3,51,26/04/2020 12:37:39,JH,0,5,0,
19,Uttarakhand,48,26,0,22,25/04/2020 19:32:40,UT,0,0,0,
20,Himachal Pradesh,40,22,2,16,26/04/2020 10:47:39,HP,0,0,0,Death of Tibetan refugee included
21,Chhattisgarh,37,32,0,5,25/04/2020 09:37:38,CT,0,0,0,
22,Assam,36,19,1,16,20/04/2020 08:45:06,AS,0,0,0,Includes one case from Nagaland
23,Andaman and Nicobar Islands,33,11,0,22,25/04/2020 20:02:39,AN,0,0,0,
24,Chandigarh,28,15,0,13,26/04/2020 09:07:39,CH,0,0,0,
25,Ladakh,20,16,0,4,25/04/2020 17:32:38,LA,0,0,0,
26,Meghalaya,12,0,1,11,18/04/2020 12:38:07,ML,0,0,0,
27,Puducherry,8,4,0,4,25/04/2020 17:42:40,PY,0,0,0,
28,Goa,7,7,0,0,19/04/2020 17:04:07,GA,0,0,0,
29,Manipur,2,2,0,0,20/04/2020 10:04:08,MN,0,0,0,
30,Tripura,2,2,0,0,23/04/2020 20:47:41,TR,0,0,0,
31,Mizoram,1,0,0,1,26/03/2020 07:19:29,MZ,0,0,0,
32,Arunachal Pradesh,1,1,0,0,16/04/2020 19:33:11,AR,0,0,0,
33,Nagaland,0,0,0,0,20/04/2020 08:45:07,NL,0,0,0,
34,Dadra and Nagar Haveli,0,0,0,0,17/04/2020 15:03:07,DN,0,0,0,
35,Daman and Diu,0,0,0,0,26/03/2020 07:19:29,DD,0,0,0,
36,Lakshadweep,0,0,0,0,26/03/2020 07:19:29,LD,0,0,0,
37,Sikkim,0,0,0,0,26/03/2020 07:19:29,SK,0,0,0,
