State,Confirmed,Recovered,Deaths,Active,Last_Updated_Time,State_code,Delta_Confirmed,Delta_Recovered,Delta_Death
Maharashtra,748,56,45,647,05/04/20 08:22 PM,MH,0,0,0
Tamil Nadu,571,8,5,558,05/04/20 06:47 PM,TN,0,0,0
Delhi,503,16,7,480,05/04/20 09:24 PM,DL,0,0,0
Kerala,314,56,2,256,05/04/20 06:11 PM,KL,0,0,0
Telangana,334,33,11,290,05/04/20 11:53 PM,TG,0,0,0
Uttar Pradesh,278,21,3,254,05/04/20 10:39 PM,UP,0,0,0
Rajasthan,266,25,1,240,05/04/20 11:53 PM,RJ,0,0,0
Andhra Pradesh,252,5,1,246,05/04/20 07:38 PM,AP,0,0,0
Madhya Pradesh,193,3,13,177,05/04/20 11:36 PM,MP,0,0,0
Karnataka,151,11,4,136,05/04/20 06:38 PM,KA,0,0,0
Gujarat,128,21,11,96,06/04/20 12:11 AM,GJ,0,0,0
Jammu and Kashmir,106,4,2,100,05/04/20 06:11 PM,JK,0,0,0
Haryana,90,29,0,61,05/04/20 04:34 PM,HR,0,0,0
Punjab,68,4,7,57,06/04/20 12:02 AM,PB,0,0,0
West Bengal,80,10,3,67,05/04/20 11:36 PM,WB,0,0,0
Bihar,32,3,1,28,04/04/20 08:06 PM,BR,0,0,0
Assam,26,0,0,26,05/04/20 12:48 AM,AS,0,0,0
Uttarakhand,26,4,0,22,05/04/20 06:11 PM,UT,0,0,0
Odisha,39,2,0,37,05/04/20 09:33 PM,OR,0,0,0
Chandigarh,18,5,0,13,05/04/20 09:41 PM,CH,0,0,0
Ladakh,14,3,0,11,27/03/2020 11:52:25,LA,0,0,0
Andaman and Nicobar Islands,10,0,0,10,30/03/2020 11:27:27,AN,0,0,0
Chhattisgarh,10,8,0,2,05/04/20 08:31 PM,CT,0,0,0
Goa,7,0,0,7,04/04/20 09:42 AM,GA,0,0,0
Himachal Pradesh,13,1,2,10,05/04/20 03:49 PM,HP,0,0,0
Puducherry,5,0,0,5,03/04/20 02:37 AM,PY,0,0,0
Jharkhand,3,0,0,3,05/04/20 02:04 PM,JH,0,0,0
Manipur,2,0,0,2,02/04/20 09:42 AM,MN,0,0,0
Mizoram,1,0,0,1,26/03/2020 07:19:29,MZ,0,0,0
Arunachal Pradesh,1,0,0,1,02/04/20 11:42 AM,AR,0,0,0
Dadra and Nagar Haveli,0,0,0,0,26/03/2020 07:19:29,DN,0,0,0
Daman and Diu,0,0,0,0,26/03/2020 07:19:29,DD,0,0,0
Lakshadweep,0,0,0,0,26/03/2020 07:19:29,LD,0,0,0
Meghalaya,0,0,0,0,26/03/2020 07:19:29,ML,0,0,0
Nagaland,0,0,0,0,26/03/2020 07:19:29,NL,0,0,0
Sikkim,0,0,0,0,26/03/2020 07:19:29,SK,0,0,0
Tripura,0,0,0,0,26/03/2020 07:19:29,TR,0,0,0
